zcta,total_pop,under18,over65,median_age
80723,6892.0,1387.0,1511.0,40.2
80726,453.0,64.0,128.0,53.9
80727,369.0,89.0,92.0,33.9
80728,1029.0,274.0,286.0,41.9
80729,350.0,48.0,195.0,62.3
80731,1486.0,316.0,480.0,46.3
80732,42.0,20.0,15.0,53.1
80733,625.0,154.0,140.0,41.1
80734,2999.0,791.0,783.0,40.3
80735,324.0,90.0,98.0,42.0
80736,625.0,95.0,179.0,40.0
80737,1420.0,316.0,455.0,42.8
80740,94.0,23.0,43.0,46.5
80741,936.0,158.0,256.0,39.8
80742,204.0,24.0,103.0,60.5
80743,1333.0,332.0,282.0,36.3
80744,615.0,151.0,181.0,40.2
80745,32.0,2.0,23.0,71.0
80746,37.0,0.0,8.0,34.9
80747,499.0,95.0,139.0,41.7
80749,264.0,43.0,95.0,52.1
80750,217.0,27.0,130.0,61.8
80751,16936.0,2994.0,4451.0,38.2
80754,141.0,39.0,46.0,39.9
80755,323.0,167.0,15.0,17.9
80757,216.0,43.0,72.0,39.8
80758,3394.0,860.0,836.0,41.0
80759,4931.0,1333.0,1178.0,40.9
80801,100.0,10.0,37.0,54.8
80802,146.0,50.0,26.0,41.5
80804,432.0,124.0,136.0,43.7
80805,369.0,113.0,120.0,40.6
80807,4211.0,1214.0,1083.0,37.7
80808,6521.0,1419.0,1360.0,40.1
80809,1138.0,133.0,543.0,58.7
80810,1145.0,229.0,385.0,47.5
80812,298.0,78.0,82.0,35.3
80813,1817.0,335.0,630.0,48.6
80814,4599.0,391.0,1772.0,54.0
80815,923.0,152.0,292.0,43.0
80816,6251.0,886.0,2675.0,55.9
80817,31241.0,8667.0,3349.0,30.6
80818,337.0,30.0,105.0,47.8
80819,650.0,66.0,155.0,41.3
80820,427.0,0.0,254.0,63.8
80821,1336.0,347.0,307.0,35.8
80822,224.0,63.0,92.0,45.0
80823,197.0,30.0,127.0,65.8
80824,293.0,90.0,95.0,47.2
80825,401.0,102.0,85.0,35.7
80826,945.0,0.0,78.0,38.8
80827,808.0,109.0,583.0,67.3
80828,2427.0,506.0,685.0,44.4
80829,5312.0,781.0,1433.0,47.3
80830,176.0,13.0,125.0,64.9
80831,33912.0,9372.0,6217.0,38.3
80832,1019.0,288.0,237.0,41.2
80833,1240.0,185.0,458.0,54.4
80834,287.0,77.0,75.0,44.2
80835,643.0,164.0,165.0,39.1
80836,1085.0,245.0,345.0,39.2
80840,6727.0,962.0,98.0,21.0
80860,654.0,71.0,368.0,61.5
80861,283.0,69.0,102.0,45.4
80862,47.0,5.0,18.0,52.7
80863,12329.0,2339.0,3950.0,44.2
80864,1505.0,307.0,501.0,50.9
80902,11951.0,5056.0,35.0,23.5
80903,16491.0,1566.0,3638.0,34.5
80904,21158.0,2428.0,7647.0,46.6
80905,16672.0,2545.0,3400.0,35.7
80906,37502.0,7946.0,9804.0,39.7
80907,27815.0,4327.0,7280.0,37.5
80908,25486.0,7334.0,5544.0,39.0
80909,35486.0,6358.0,8515.0,37.4
80910,31368.0,6956.0,6102.0,31.9
80911,33027.0,8552.0,7173.0,36.4
80913,6586.0,0.0,0.0,21.9
80914,504.0,0.0,0.0,21.6
80915,23884.0,5700.0,3777.0,32.2
80916,41104.0,12740.0,4492.0,29.4
80917,30398.0,6083.0,6324.0,34.8
80918,50005.0,9957.0,10594.0,35.3
80919,27787.0,5790.0,7504.0,42.3
80920,36923.0,8418.0,8159.0,37.2
80921,26551.0,6255.0,6684.0,44.3
